,0,0,0,0,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Runtime,IMDb,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,IMDb_rate
35,0.1268357810413885,0.9489795918367346,0.8,0.9915254237288131,2019,4,93,1,0,0,0,96.0,8.2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
36,0.19225634178905207,0.9081632653061223,0.2,0.8474576271186436,2002,1,89,1,0,0,0,145.0,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7.6
37,0.1829105473965287,0.8775510204081632,0.6000000000000001,0.8559322033898304,2003,3,86,1,0,0,0,138.0,7.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.9
38,0.21895861148197598,0.9183673469387754,0.8,0.8898305084745779,2007,4,90,1,0,0,0,165.0,8.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
39,0.13618157543391188,0.7959183673469387,0.2,0.7118644067796609,1986,1,78,1,0,0,0,103.0,7.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8
40,0.12550066755674233,0.8061224489795917,0.8,0.9152542372881385,2010,4,79,1,0,0,0,95.0,7.6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
41,0.1348464619492657,0.9795918367346939,0.6000000000000001,0.9661016949152561,2016,3,96,1,0,0,0,102.0,7.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.6
42,0.16421895861148197,0.7551020408163265,0.6000000000000001,0.8728813559322042,2005,3,74,1,0,0,0,124.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
43,0.14018691588785048,0.846938775510204,0.6000000000000001,0.8983050847457648,2008,3,83,1,0,0,0,106.0,8.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
44,0.15620827770360482,0.846938775510204,0.8,0.6949152542372907,1984,4,83,1,0,0,0,118.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
45,0.1628838451268358,0.7755102040816326,0.2,0.9491525423728824,2014,1,76,1,0,0,0,123.0,7.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7
46,0.1548731642189586,0.6428571428571428,0.2,0.881355932203391,2006,1,63,1,0,0,0,117.0,8.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
47,0.14018691588785048,0.9387755102040816,0.2,0.9152542372881385,2010,1,92,1,0,0,0,106.0,8.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
48,0.14819759679572764,0.8061224489795917,0.2,0.9152542372881385,2010,1,79,1,0,0,0,112.0,7.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5
49,0.24966622162883848,0.8265306122448979,0.6000000000000001,0.8220338983050866,1999,3,81,1,0,0,0,188.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
50,0.22296395193591456,0.7346938775510203,0.6000000000000001,0.9576271186440692,2015,3,72,1,0,0,0,168.0,7.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7.8
51,0.1321762349799733,0.9591836734693877,0.2,0.9237288135593218,2011,1,94,1,0,0,0,100.0,7.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.9
52,0.14686248331108145,0.9897959183673468,0.6000000000000001,0.9661016949152561,2016,3,97,1,0,0,0,111.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
53,0.14285714285714288,0.6224489795918366,0.8,0.7372881355932215,1989,4,61,1,0,0,0,108.0,7.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8
54,0.1321762349799733,0.9183673469387754,1.0,0.5847457627118651,1971,5,90,1,0,0,0,100.0,7.8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8
55,0.15620827770360482,0.9081632653061223,0.2,0.7711864406779689,1993,1,89,1,0,1,0,118.0,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8
56,0.22029372496662217,0.6938775510204082,0.2,0.8983050847457648,2008,1,68,1,0,0,0,166.0,7.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8
57,0.17222963951935916,0.9489795918367346,0.0,0.9661016949152561,2016,0,93,1,0,0,0,130.0,8.2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2
58,0.0787716955941255,0.9489795918367346,0.6000000000000001,0.9406779661016955,2013,3,93,1,0,0,0,60.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.1
